current_final_score,score_last_week,score_two_weeks_ago,score_change_7d,score_change_14d,assignments_submitted,assignments_total,submission_rate,days_since_last_grade,class_average,score_vs_class_avg,is_at_risk
95.63,91.75,80.4,3.89,15.23,6,9,0.6667,2,57.5,38.13,0
66.02,63.66,75.31,2.36,-9.29,5,7,0.7143,3,78.46,-12.45,0
54.73,45.95,39.34,8.77,15.39,8,14,0.5714,0,68.12,-13.39,0
52.24,50.91,59.92,1.33,-7.68,14,14,1.0,3,69.81,-17.57,0
41.26,44.87,31.79,-3.6,9.47,1,7,0.1429,24,61.03,-19.76,1
79.28,81.49,75.52,-2.21,3.76,2,3,0.6667,3,62.79,16.49,0
76.24,74.93,67.42,1.31,8.82,9,10,0.9,0,79.03,-2.79,0
85.87,71.83,75.16,14.04,10.71,9,11,0.8182,3,68.57,17.3,0
48.08,52.14,41.96,-4.06,6.12,10,10,1.0,23,72.67,-24.59,1
87.02,88.26,93.26,-1.24,-6.23,9,11,0.8182,6,76.25,10.77,0
54.58,45.77,65.82,8.81,-11.24,6,7,0.8571,3,70.94,-16.36,0
72.67,70.5,79.12,2.17,-6.45,1,3,0.3333,1,60.9,11.77,0
51.94,55.63,48.61,-3.69,3.33,12,14,0.8571,2,55.79,-3.84,0
65.09,59.67,64.9,5.42,0.19,9,9,1.0,6,73.89,-8.8,0
22.69,27.55,27.71,-4.85,-5.02,1,4,0.25,17,62.39,-39.7,1
35.98,38.47,49.97,-2.49,-13.99,9,13,0.6923,27,77.4,-41.42,1
55.28,57.64,69.92,-2.35,-14.64,3,6,0.5,0,62.62,-7.34,0
38.69,27.02,40.23,11.67,-1.53,11,12,0.9167,28,78.57,-39.88,1
74.9,80.56,60.86,-5.66,14.04,2,3,0.6667,3,61.17,13.73,0
84.19,86.84,85.03,-2.65,-0.84,1,3,0.3333,2,72.02,12.17,0
71.49,58.54,59.18,12.95,12.32,7,9,0.7778,2,61.05,10.44,0
72.57,72.85,70.41,-0.27,2.17,1,3,0.3333,3,67.7,4.87,0
91.2,97.78,98.02,-6.58,-6.82,9,12,0.75,6,60.66,30.54,0
58.37,63.89,42.87,-5.52,15.5,2,4,0.5,2,63.53,-5.16,0
52.36,54.5,46.8,-2.14,5.56,9,14,0.6429,0,67.92,-15.55,0
97.82,97.44,92.8,0.38,5.02,13,13,1.0,0,61.97,35.85,0
90.64,92.35,79.99,-1.71,10.65,3,3,1.0,0,59.04,31.6,0
79.11,78.06,91.28,1.05,-12.17,6,8,0.75,4,60.61,18.5,0
61.39,54.44,69.59,6.95,-8.21,8,10,0.8,0,62.7,-1.31,0
74.42,82.33,67.22,-7.91,7.2,8,8,1.0,2,77.3,-2.88,0
88.15,71.74,87.21,16.41,0.94,1,3,0.3333,3,73.06,15.09,0
